Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
225;122;123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;1
123;22;151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;2
151;112;224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;1
224;122;235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;2
235;42;222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;2
222;53;233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;1
233;44;234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;2
234;45;251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;2
251;46;134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;2
134;47;222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;1
222;47;145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;1
145;247;222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;2
222;137;124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;121;254;1
124;126;112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;121;254;152;144;1
112;126;235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;121;254;152;144;124;334;1
235;115;152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;121;254;152;144;124;334;135;523;1
152;35;222;25;121;325;223;224;254;234;135;123;243;223;223;233;225;153;121;143;123;244;121;254;152;144;124;334;135;523;153;423;2
